date,open,high,low,close,volume,symbol
2005-01-03,461.0,471.9,461.0,469.4,678793.0,MARUTI
2005-01-04,469.0,473.5,462.0,463.25,791959.0,MARUTI
2005-01-05,463.0,470.4,431.2,446.2,1191385.0,MARUTI
2005-01-06,446.5,453.9,433.0,436.6,1147048.0,MARUTI
2005-01-07,436.0,443.0,436.0,439.65,496067.0,MARUTI
2005-01-10,439.0,444.45,420.5,423.75,707592.0,MARUTI
2005-01-11,425.0,434.0,422.45,427.45,805017.0,MARUTI
2005-01-12,430.0,435.0,410.0,413.3,881777.0,MARUTI
2005-01-13,415.0,444.0,415.0,437.45,1275328.0,MARUTI
2005-01-14,439.0,439.0,416.1,419.4,1220659.0,MARUTI
2005-01-17,423.4,423.9,414.55,420.0,665209.0,MARUTI
2005-01-18,421.9,427.2,415.2,417.15,899438.0,MARUTI
2005-01-19,419.0,423.0,405.1,407.75,791591.0,MARUTI
2005-01-20,407.0,407.0,389.25,394.6,1508786.0,MARUTI
2005-01-24,397.0,412.0,396.0,410.5,2157176.0,MARUTI
2005-01-25,409.55,423.5,407.1,421.5,1316695.0,MARUTI
2005-01-27,422.0,438.0,422.0,435.9,1869805.0,MARUTI
2005-01-28,435.0,449.0,431.1,447.3,1314085.0,MARUTI
2005-01-31,447.0,455.1,447.0,451.95,607759.0,MARUTI
2005-02-01,451.0,456.0,442.0,448.55,1082935.0,MARUTI
2005-02-02,449.0,453.6,445.0,449.9,676556.0,MARUTI
2005-02-03,452.0,461.4,451.1,460.25,643982.0,MARUTI
2005-02-04,462.05,465.4,453.4,463.2,732503.0,MARUTI
2005-02-07,463.25,468.0,455.0,459.0,503935.0,MARUTI
2005-02-08,460.0,470.5,454.0,467.05,1101853.0,MARUTI
2005-02-09,467.85,491.7,465.5,487.9,2022022.0,MARUTI
2005-02-10,495.0,495.0,478.65,481.05,904795.0,MARUTI
2005-02-11,481.9,499.6,481.05,498.35,1301810.0,MARUTI
2005-02-14,500.0,503.95,486.55,490.8,1186830.0,MARUTI
2005-02-15,494.0,495.0,487.5,490.5,863437.0,MARUTI
2005-02-16,492.0,492.9,467.9,471.4,1030746.0,MARUTI
2005-02-17,472.0,476.0,467.0,473.1,873456.0,MARUTI
2005-02-18,473.0,478.0,458.55,462.75,1168962.0,MARUTI
2005-02-21,464.0,472.7,462.1,465.7,998005.0,MARUTI
2005-02-22,465.0,475.8,463.05,473.4,626917.0,MARUTI
2005-02-23,473.05,476.0,468.0,471.4,744495.0,MARUTI
2005-02-24,474.4,476.0,468.05,471.85,498261.0,MARUTI
2005-02-25,472.0,479.65,471.1,474.35,855173.0,MARUTI
2005-02-28,474.0,483.0,455.05,473.15,1515658.0,MARUTI
2005-03-01,473.0,476.0,459.65,462.55,773266.0,MARUTI
2005-03-02,462.0,468.8,455.2,462.45,823406.0,MARUTI
2005-03-03,462.0,474.5,462.0,473.6,577183.0,MARUTI
2005-03-04,471.0,485.0,471.0,482.65,855986.0,MARUTI
2005-03-07,483.4,485.75,466.0,469.55,579663.0,MARUTI
2005-03-08,469.0,473.2,463.55,465.1,638815.0,MARUTI
2005-03-09,465.0,468.75,457.0,459.55,820031.0,MARUTI
2005-03-10,459.0,464.9,457.0,461.45,563828.0,MARUTI
2005-03-11,461.0,468.0,456.0,457.85,458011.0,MARUTI
2005-03-14,458.5,462.2,451.0,453.25,732044.0,MARUTI
2005-03-15,454.0,456.9,447.1,449.2,593249.0,MARUTI
2005-03-16,453.05,456.0,447.1,449.6,472268.0,MARUTI
2005-03-17,447.0,449.0,432.7,436.25,592004.0,MARUTI
2005-03-18,435.0,450.85,423.55,448.05,1486252.0,MARUTI
2005-03-21,449.0,449.0,426.1,428.45,1225961.0,MARUTI
2005-03-22,431.75,434.5,419.55,420.8,1210081.0,MARUTI
2005-03-23,420.0,425.75,408.0,411.5,1737141.0,MARUTI
2005-03-24,413.0,418.0,405.7,412.45,1230647.0,MARUTI
2005-03-28,416.8,430.7,414.15,421.2,997855.0,MARUTI
2005-03-29,420.0,421.8,408.0,411.5,688782.0,MARUTI
2005-03-30,412.5,420.1,408.55,418.75,742430.0,MARUTI
2005-03-31,422.0,424.9,417.35,420.8,413444.0,MARUTI
2005-04-01,425.0,434.8,418.0,432.55,594677.0,MARUTI
2005-04-04,432.0,432.0,416.1,420.1,577435.0,MARUTI
2005-04-05,422.0,423.45,400.1,402.35,795043.0,MARUTI
2005-04-06,405.45,411.5,398.9,407.85,1190253.0,MARUTI
2005-04-07,414.0,417.85,406.55,410.1,922475.0,MARUTI
2005-04-08,410.5,414.75,407.1,411.55,609754.0,MARUTI
2005-04-11,414.0,415.75,400.15,401.85,863595.0,MARUTI
2005-04-12,403.0,411.0,398.9,408.05,827109.0,MARUTI
2005-04-13,409.5,414.8,407.35,412.45,990314.0,MARUTI
2005-04-15,411.0,411.4,402.0,405.7,470699.0,MARUTI
2005-04-18,403.0,422.8,395.0,415.65,821456.0,MARUTI
2005-04-19,419.0,422.5,411.6,413.1,819007.0,MARUTI
2005-04-20,414.9,435.0,412.5,429.15,670809.0,MARUTI
2005-04-21,429.0,435.0,418.2,433.35,1069954.0,MARUTI
2005-04-22,433.35,441.0,427.25,439.25,1255368.0,MARUTI
2005-04-25,438.0,441.95,432.5,439.0,1345161.0,MARUTI
2005-04-26,439.2,444.35,429.5,431.1,1188096.0,MARUTI
2005-04-27,430.9,430.9,417.0,418.6,611130.0,MARUTI
2005-04-28,421.25,426.5,412.6,414.9,740232.0,MARUTI
2005-04-29,418.0,418.0,403.35,406.35,548565.0,MARUTI
2005-05-02,408.0,413.35,393.05,403.3,1155794.0,MARUTI
2005-05-03,404.0,412.35,400.0,410.95,823331.0,MARUTI
2005-05-04,410.0,415.0,406.5,413.35,610701.0,MARUTI
2005-05-05,415.0,421.75,415.0,416.7,524485.0,MARUTI
2005-05-06,416.0,439.4,413.0,433.15,2809832.0,MARUTI
2005-05-09,432.0,444.0,432.0,440.05,1269679.0,MARUTI
2005-05-10,440.0,442.9,434.05,437.0,730251.0,MARUTI
2005-05-11,437.0,439.5,430.2,433.1,650750.0,MARUTI
2005-05-12,434.5,443.0,434.5,438.3,708600.0,MARUTI
2005-05-13,438.0,440.0,432.55,434.65,660797.0,MARUTI
2005-05-16,435.7,455.9,435.7,453.8,1200204.0,MARUTI
